random_state,accuracy,balanced_accuracy,kappa,log_loss,roc_auc
1,0.72,0.8157894736842105,0.45141065830721006,0.5684559184106935,0.9473684210526315
2,0.55,0.55,0.09999999999999998,0.8574518115085707,0.44
3,0.3181818181818182,0.3181818181818182,-0.36363636363636354,1.21796776645755,0.34710743801652894
4,0.6521739130434783,0.6150793650793651,0.2396694214876034,0.7733231004967329,0.6428571428571428
5,0.8260869565217391,0.8174603174603174,0.6349206349206349,0.4469592686196806,0.8888888888888888
6,0.6666666666666666,0.6944444444444444,0.36363636363636365,0.7010692747143727,0.7314814814814815
7,0.4444444444444444,0.36363636363636365,-0.30434782608695654,0.65607321396221,0.6103896103896104
8,0.875,0.85,0.7313432835820896,0.40196309781567224,0.9571428571428572
9,0.7272727272727273,0.6785714285714286,0.37735849056603776,0.5691474180623046,0.7321428571428572
10,0.6538461538461539,0.6607142857142857,0.3157894736842105,0.5436675617377728,0.8214285714285714
42,0.9166666666666666,0.9,0.8235294117647058,0.41829332046872264,0.8714285714285714
100,0.6666666666666666,0.6545454545454545,0.3162790697674418,0.5773104372942566,0.8181818181818181
123,0.5,0.40476190476190477,-0.19801980198019797,1.034951868499525,0.2761904761904762
2021,0.6842105263157895,0.5714285714285714,0.17391304347826086,0.5056686393720394,0.8928571428571428
7,0.4444444444444444,0.36363636363636365,-0.30434782608695654,0.65607321396221,0.6103896103896104
