random_state,accuracy,balanced_accuracy,kappa,log_loss,roc_auc
1,0.6666666666666666,0.59375,0.19999999999999996,0.49145501173790934,0.765625
2,0.625,0.5642857142857143,0.1428571428571429,0.7624670405378607,0.5928571428571429
3,0.7083333333333334,0.7083333333333334,0.41666666666666663,0.5744339410181146,0.8749999999999999
4,0.44,0.631578947368421,0.14634146341463405,1.4954347194790123,0.8771929824561403
5,0.6538461538461539,0.5069444444444444,0.01680672268907557,0.538414025322065,0.763888888888889
6,0.8095238095238095,0.75,0.5384615384615384,0.44083726054553696,0.9285714285714286
7,0.5833333333333334,0.46875,-0.0714285714285714,0.8836411493925599,0.609375
8,0.7307692307692307,0.6666666666666667,0.3453237410071942,0.6128706136668368,0.7083333333333333
9,0.8260869565217391,0.7777777777777778,0.603448275862069,0.5128621212040283,0.8492063492063493
10,0.8,0.7951388888888888,0.576271186440678,0.46738469373733943,0.8402777777777778
42,0.782608695652174,0.7232142857142857,0.4651162790697674,0.4390812066430123,0.8303571428571428
100,0.8076923076923077,0.6875,0.45378151260504196,0.581252369648629,0.6805555555555556
123,0.68,0.6363636363636364,0.2957746478873239,0.915956621282541,0.6623376623376623
2021,0.7391304347826086,0.7272727272727273,0.4651162790697674,0.5846678540513456,0.8712121212121212
7,0.5833333333333334,0.46875,-0.0714285714285714,0.8836411493925599,0.609375
