random_state,accuracy,balanced_accuracy,kappa,log_loss,roc_auc
1,0.5769230769230769,0.6083333333333334,0.15384615384615385,0.6226809040110127,0.725
2,0.5416666666666666,0.47857142857142854,-0.04761904761904767,0.9496083414557365,0.5714285714285714
3,0.625,0.625,0.25,0.6049041851599769,0.8194444444444445
4,0.391304347826087,0.5882352941176471,0.1005586592178771,1.2174501088187124,0.7058823529411764
5,0.5833333333333334,0.5,0.0,0.7164763269328757,0.6953125
6,0.5652173913043478,0.5238095238095238,0.04958677685950419,0.7012522423183148,0.626984126984127
7,0.782608695652174,0.6830357142857143,0.41624365482233505,0.45758200053580805,0.8214285714285715
8,1.0,1.0,1.0,0.15669706254998533,1.0
9,0.7083333333333334,0.6785714285714286,0.3731343283582089,0.42148113366888046,0.9071428571428571
10,0.72,0.7083333333333333,0.4067796610169492,0.5277425050132426,0.798611111111111
42,0.6,0.5649350649350648,0.13793103448275867,0.6376531482721106,0.7402597402597402
100,0.6,0.4166666666666667,-0.20192307692307687,0.8458805086354572,0.5238095238095238
123,0.64,0.6538461538461539,0.2990654205607477,1.0753862055796746,0.5833333333333333
2021,0.5416666666666666,0.4928571428571429,-0.01538461538461533,0.7012223759029395,0.6857142857142857
7,0.782608695652174,0.6830357142857143,0.41624365482233505,0.45758200053580805,0.8214285714285715
