dataset,file_count,random_state,accuracy,balanced_accuracy,kappa,log_loss,roc_auc
mdd2,200,1,0.6666666666666666,0.48636363636363633,-0.025316455696202445,0.5844927135295901,0.5454545454545454
mdd2,200,2,0.5925925925925926,0.5284090909090909,0.06309148264984221,0.9427596991454648,0.4431818181818182
mdd2,200,3,0.5185185185185185,0.45170454545454547,-0.10725552050473186,0.804199376091067,0.5795454545454546
mdd2,200,4,0.7,0.6388888888888888,0.3076923076923077,0.6620685547809279,0.7685185185185185
mdd2,200,5,0.8666666666666667,0.7897727272727273,0.6296296296296297,0.3479570628864829,0.9090909090909092
mdd2,200,6,0.6896551724137931,0.5305555555555556,0.07773851590105996,0.8524312593218354,0.43333333333333335
mdd2,200,7,0.6428571428571429,0.45,-0.12903225806451601,0.803246743111304,0.31875
mdd2,200,8,0.5185185185185185,0.3888888888888889,-0.25806451612903225,0.8280390569456302,0.5061728395061729
mdd2,200,9,0.7333333333333333,0.6,0.2500000000000001,0.5831828425602799,0.815
mdd2,200,10,0.8076923076923077,0.7,0.4247787610619469,0.49688368948817513,0.725
mdd2,200,42,0.7586206896551724,0.5974025974025974,0.22813688212927752,0.6192353169352631,0.5844155844155845
mdd2,200,100,0.7037037037037037,0.6388888888888888,0.2941176470588236,0.6224476428682223,0.7037037037037037
mdd2,200,123,0.7777777777777778,0.6666666666666666,0.4,0.6067447458544573,0.6728395061728395
mdd2,200,2021,0.5185185185185185,0.5,0.0,1.448651873445249,0.32417582417582413
mdd2,200,7,0.6428571428571429,0.45,-0.12903225806451601,0.803246743111304,0.31875
mdd3,200,1,0.7586206896551724,0.5974025974025974,0.22813688212927752,0.5770411457264625,0.7207792207792207
mdd3,200,2,0.75,0.7291666666666667,0.4731182795698924,0.6207774869808702,0.7916666666666666
mdd3,200,3,0.7142857142857143,0.575,0.17647058823529405,0.4754249390072504,0.84375
mdd3,200,4,0.5357142857142857,0.59375,0.1651376146788992,1.1595999203660394,0.6302083333333333
mdd3,200,5,0.5862068965517241,0.5252525252525253,0.05434782608695654,0.6782648601677139,0.6666666666666666
mdd3,200,6,0.5,0.375,-0.2857142857142856,1.0716453956825611,0.345
mdd3,200,7,0.8928571428571429,0.7291666666666667,0.5116279069767442,0.3133555069738386,0.8541666666666666
mdd3,200,8,0.5862068965517241,0.5429292929292929,0.08900523560209428,0.8399745675880247,0.6111111111111112
mdd3,200,9,0.5517241379310345,0.6176470588235294,0.20295983086680758,0.8407348300908895,0.7794117647058824
mdd3,200,10,0.8275862068965517,0.5791666666666667,0.2076502732240436,0.42358657125547705,0.7083333333333333
mdd3,200,42,0.41379310344827586,0.42857142857142855,-0.1385681293302541,1.3503365234591982,0.49523809523809526
mdd3,200,100,0.7,0.575,0.18181818181818177,0.6210849812694561,0.73
mdd3,200,123,0.6896551724137931,0.5909090909090909,0.21621621621621623,0.7788542161582342,0.7121212121212122
mdd3,200,2021,0.5714285714285714,0.5208333333333334,0.045454545454545525,0.8203678319587823,0.7187500000000001
mdd3,200,7,0.8928571428571429,0.7291666666666667,0.5116279069767442,0.3133555069738386,0.8541666666666666
mdd2,180,1,0.7916666666666666,0.5833333333333334,0.23076923076923073,0.4439967132941585,0.8518518518518519
mdd2,180,2,0.6,0.608974358974359,0.21383647798742134,0.7324335924457295,0.7435897435897436
mdd2,180,3,0.5416666666666666,0.6071428571428571,0.18518518518518523,0.7928267599274171,0.6857142857142857
mdd2,180,4,0.4583333333333333,0.675,0.15217391304347816,1.4083686081306765,0.65
mdd2,180,5,0.7241379310344828,0.672077922077922,0.31360946745562124,0.660008174060632,0.616883116883117
mdd2,180,6,0.5714285714285714,0.5454545454545454,0.06666666666666665,0.7868270143015762,0.5909090909090909
mdd2,180,7,0.7407407407407407,0.5625,0.08695652173913038,0.46481298579739017,0.6944444444444444
mdd2,180,8,0.72,0.6818181818181819,0.3902439024390244,0.570276221218357,0.8831168831168831
mdd2,180,9,0.6428571428571429,0.6145833333333334,0.23913043478260865,0.7322207099458569,0.6822916666666667
mdd2,180,10,0.64,0.6006493506493507,0.21602787456445993,0.9628001190502776,0.4935064935064935
mdd2,180,42,0.8571428571428571,0.75,0.588235294117647,0.3449913244676055,0.94375
mdd2,180,100,0.8695652173913043,0.8660714285714286,0.703862660944206,0.395541820790207,0.8839285714285714
mdd2,180,123,0.6923076923076923,0.65625,0.3246753246753247,0.686778457055447,0.65
mdd2,180,2021,0.6666666666666666,0.5,0.0,0.5678317276074271,0.78125
mdd2,180,7,0.7407407407407407,0.5625,0.08695652173913038,0.46481298579739017,0.6944444444444444
mdd3,180,1,0.8518518518518519,0.7142857142857143,0.5263157894736843,0.39172604895415936,0.8571428571428571
mdd3,180,2,0.6785714285714286,0.65625,0.32258064516129026,0.6346833681948139,0.7135416666666666
mdd3,180,3,0.8148148148148148,0.7357142857142858,0.4943820224719101,0.3629101478974028,0.9142857142857143
mdd3,180,4,0.5769230769230769,0.5535714285714286,0.11180124223602472,0.7635578463703987,0.7738095238095238
mdd3,180,5,0.7407407407407407,0.5318181818181819,0.06896551724137934,0.4899998039779578,0.6727272727272727
mdd3,180,6,0.7037037037037037,0.5555555555555556,0.1428571428571428,0.6645255041672478,0.8395061728395062
mdd3,180,7,0.6785714285714286,0.6388888888888888,0.28409090909090906,0.7417168790528731,0.6444444444444444
mdd3,180,8,0.4444444444444444,0.4423076923076923,-0.11570247933884303,1.0431642686623621,0.4835164835164836
mdd3,180,9,0.6296296296296297,0.5277777777777778,0.0625,0.6597912565540417,0.728395061728395
mdd3,180,10,0.7307692307692307,0.3958333333333333,-0.1234567901234569,0.49124151860810383,0.625
mdd3,180,42,0.5555555555555556,0.5384615384615384,0.07954545454545459,0.8692800392607192,0.7362637362637363
mdd3,180,100,0.7407407407407407,0.6666666666666666,0.36363636363636365,0.8411962295067872,0.5061728395061728
mdd3,180,123,0.6428571428571429,0.5833333333333334,0.18604651162790686,0.7893553474886568,0.7916666666666667
mdd3,180,2021,0.5555555555555556,0.5384615384615384,0.07954545454545459,0.8147406975404785,0.7857142857142857
mdd3,180,7,0.6785714285714286,0.6388888888888888,0.28409090909090906,0.7417168790528731,0.6444444444444444
mdd2,160,1,0.6666666666666666,0.5,0.0,0.45197514182763876,0.8055555555555556
