random_state,accuracy,balanced_accuracy,kappa,log_loss,roc_auc,harmonic_acc,kappa_acc_ratio,inv_log_loss,roc_auc_norm,composite_score,overfitting_flag,imbalance_signal,overconfident_model,stability_index,error_confidence_ratio
1,0.8181818181818182,0.5972222222222222,0.2413793103448275,0.4650601953172636,0.5972222222222222,0.6904549460585164,0.2950191534823328,2.1502592321736085,0.5396825335147393,0.8205332981817233,False,True,True,0.4193007662835248,1.154632180396821
2,0.5,0.6071428571428571,0.1655172413793104,0.9730549800442556,0.6785714285714286,0.5483870918210197,0.3310344761379312,1.0276911482202242,0.6326530539941692,0.5822975835244784,False,False,False,0.4220443349753695,3.027282065955576
3,0.5909090909090909,0.575,0.1538461538461538,0.6313012338081028,0.7583333333333333,0.5828459988995665,0.2603550251797906,1.584029826977453,0.723809515537415,0.6969205729582968,False,False,False,0.4560897435897435,2.612280859387424
4,0.6666666666666666,0.7307692307692308,0.3950617283950618,0.6692179437205155,0.9038461538461536,0.6972477014325396,0.5925925837037039,1.4942814884754698,0.8901098799372055,0.8107824328769951,False,False,False,0.6494539411206077,6.9598658908672935
5,0.85,0.8541666666666667,0.6938775510204083,0.505883335571226,0.8125,0.8520782346088319,0.8163265210084035,1.976740307334756,0.785714276734694,0.98377720076688,False,False,False,0.7531887755102041,2.6980443124841758
6,0.625,0.6071428571428572,0.217391304347826,0.7837965254102217,0.6071428571428571,0.6159420239865575,0.3478260813913043,1.2758413118994232,0.5510204018658892,0.6422246870959796,False,False,False,0.4122670807453416,1.9951183775320964
7,0.7272727272727273,0.6785714285714286,0.3773584905660377,0.5303846661604882,0.7767857142857143,0.7020785169459542,0.518867917393868,1.8854240044020647,0.744897950670554,0.8398580033403651,False,False,False,0.577072102425876,2.376123197948668
8,0.5652173913043478,0.4866071428571428,-0.0267857142857141,0.6134507697244742,0.6607142857142857,0.5229747136106925,-0.0473901090516691,1.6301226325755764,0.6122448909620991,0.6259056494762718,False,False,False,0.3169642857142858,1.808065373265997
9,0.7,0.75,0.4444444444444445,0.9278623308068128,0.6354166666666666,0.724137926040428,0.6349206258503403,1.0777460793704168,0.5833333266666667,0.7074952439055626,False,False,False,0.5399305555555556,2.5449937518360004
10,0.3636363636363636,0.3833333333333333,-0.2222222222222223,0.7864413284053534,0.6416666666666666,0.3732251471332942,-0.6111110943055563,1.2715506563117267,0.5904761837278911,0.4622369261014281,False,False,False,0.2097222222222221,2.1947199249995
42,0.6666666666666666,0.7307692307692308,0.3950617283950618,0.5231645363939476,0.8942307692307692,0.6972477014325396,0.5925925837037039,1.9114445099400732,0.8791208690737834,0.8711590839240013,False,False,False,0.6446462488129154,4.946282421894254
100,0.625,0.6642857142857143,0.2987012987012987,0.8168689454858619,0.75,0.6440443163342824,0.4779220702753247,1.2241865641781116,0.714285706122449,0.6936117492278299,False,False,False,0.5243506493506493,3.2674756512444216
123,0.85,0.8500000000000001,0.7,0.4801041305688909,0.92,0.849999995,0.8235294020761246,2.082881432380624,0.9085714181877552,1.024146498494645,False,False,True,0.81,6.001300881948529
2021,0.9090909090909092,0.75,0.6206896551724137,0.3744496621238367,0.8888888888888888,0.8219178032651531,0.6827586131793102,2.6705858609198714,0.8730158630385487,1.0830672272942798,False,True,True,0.7547892720306513,3.37004665581033
7,0.7272727272727273,0.6785714285714286,0.3773584905660377,0.5303846661604882,0.7767857142857143,0.7020785169459542,0.518867917393868,1.8854240044020647,0.744897950670554,0.8398580033403651,False,False,False,0.577072102425876,2.376123197948668
