random_state,accuracy,balanced_accuracy,kappa,log_loss,roc_auc,harmonic_acc,kappa_acc_ratio,inv_log_loss,roc_auc_norm,composite_score,overfitting_flag,imbalance_signal,overconfident_model,stability_index,error_confidence_ratio
1,0.8518518518518519,0.7142857142857143,0.5263157894736843,0.3917260489541593,0.8571428571428571,0.7770270220656046,0.6178489629987067,2.552804382403935,0.8367346843148689,1.0207493541790085,False,False,True,0.6917293233082706,2.742082150733364
2,0.6785714285714286,0.65625,0.3225806451612902,0.6346833681948139,0.7135416666666666,0.6672240752689568,0.4753819963899561,1.5755887649747988,0.6726190399319728,0.752954576649665,False,False,False,0.5180611559139784,2.215621862534732
3,0.8148148148148148,0.7357142857142858,0.4943820224719101,0.3629101478974028,0.9142857142857144,0.7732468812099075,0.606741565587334,2.755502920595314,0.9020408060174928,1.0555231777958574,False,False,True,0.7043338683788123,4.233951231508726
4,0.5769230769230769,0.5535714285714286,0.1118012422360247,0.7635578463703987,0.7738095238095238,0.5650060703362768,0.19378881651677,1.3096584517557557,0.7414965901652091,0.6441418985054352,False,False,False,0.4428053830227743,3.375729276815837
5,0.7407407407407407,0.5318181818181819,0.0689655172413793,0.4899998039779578,0.6727272727272727,0.6191295096208105,0.0931034470189655,2.0408171012999285,0.6259740188200371,0.7598019271849343,False,True,True,0.370846394984326,1.497221577517545
6,0.7037037037037037,0.5555555555555556,0.1428571428571428,0.6645255041672478,0.8395061728395062,0.6209150277489428,0.2030075159121487,1.5048331157805928,0.8165784739128246,0.7252840483930401,False,False,False,0.4911816578483245,4.1405048064414
7,0.6785714285714286,0.6388888888888888,0.284090909090909,0.7417168790528731,0.6444444444444444,0.6581325251250183,0.418660280911609,1.3482233110222668,0.5936507868662131,0.6929423697552983,False,False,False,0.4642676767676766,2.086078663665243
8,0.4444444444444444,0.4423076923076923,-0.115702479338843,1.043164268662362,0.4835164835164836,0.4433734889759326,-0.2603305726549589,0.9586217822587724,0.4097331193361741,0.4300725534932583,False,False,False,0.1839070020888202,2.0197435449001766
9,0.6296296296296297,0.5277777777777778,0.0625,0.6597912565540417,0.728395061728395,0.5742222172609424,0.0992647043057958,1.5156308528041007,0.6895943483799445,0.6639903494484558,False,False,False,0.3954475308641975,2.4292313551454527
10,0.7307692307692307,0.3958333333333333,-0.1234567901234569,0.4912415186081038,0.625,0.5135135089554419,-0.1689408683834344,2.035658513712033,0.5714285648979592,0.6827666125435193,False,True,True,0.2507716049382715,1.309977348022214
42,0.5555555555555556,0.5384615384615384,0.0795454545454545,0.8692800392607192,0.7362637362637363,0.5468749950012207,0.1431818156045454,1.1503772585721388,0.698587119174703,0.5977101043068531,False,False,False,0.4079045954045954,3.296020023889468
100,0.7407407407407407,0.6666666666666666,0.3636363636363636,0.8411962295067872,0.5061728395061728,0.7017543809787627,0.4909090842818182,1.1887832506078762,0.4356260973141849,0.6718400134513247,False,False,False,0.4349046015712682,1.7034223302569416
123,0.6428571428571429,0.5833333333333334,0.1860465116279068,0.7893553474886568,0.7916666666666667,0.6116504804486758,0.2894056802526555,1.2668565437770785,0.761904753197279,0.6768640279978226,False,False,False,0.4888565891472868,3.7889054860780895
2021,0.5555555555555556,0.5384615384615384,0.0795454545454545,0.8147406975404785,0.7857142857142857,0.5468749950012207,0.1431818156045454,1.2273843576796084,0.755102032186589,0.6205641517753508,False,False,False,0.4326298701298701,3.802123077756489
7,0.6785714285714286,0.6388888888888888,0.284090909090909,0.7417168790528731,0.6444444444444444,0.6581325251250183,0.418660280911609,1.3482233110222668,0.5936507868662131,0.6929423697552983,False,False,False,0.4642676767676766,2.086078663665243
