random_state,accuracy,balanced_accuracy,kappa,log_loss,roc_auc,harmonic_acc,kappa_acc_ratio,inv_log_loss,roc_auc_norm,composite_score,overfitting_flag,imbalance_signal,overconfident_model,stability_index,error_confidence_ratio
1,0.55,0.4791666666666667,-0.0465116279069768,0.9230582374983112,0.4583333333333333,0.5121457440115393,-0.0845665946569288,1.0833552516433471,0.3809523765986394,0.48900868554685,False,False,False,0.2059108527131782,1.7041074839210513
2,0.8571428571428571,0.8214285714285714,0.6666666666666667,0.3342233742519406,0.9285714285714286,0.8389057700782513,0.7777777687037039,2.992010873919555,0.9183673364431488,1.15211795551942,False,False,True,0.7976190476190477,4.679126584449449
3,0.7,0.5952380952380952,0.2105263157894736,0.5321514849662637,0.7261904761904763,0.6433823479738864,0.3007518754027926,1.879164127995912,0.6870748220796892,0.7746780547932695,False,False,False,0.4683583959899749,1.9435097002007835
4,0.6956521739130435,0.6856060606060606,0.3783783783783784,0.6450175603898944,0.803030303030303,0.6905925787608463,0.5439189111000846,1.5503453640736158,0.7748917660358688,0.7896014732047489,False,False,False,0.5907043407043406,3.274704371109857
5,0.7272727272727273,0.725,0.4499999999999999,0.7271413741137059,0.6916666666666667,0.7261345802895272,0.6187499914921875,1.3752483655140526,0.6476190402176871,0.7663792446888271,False,False,False,0.5708333333333333,2.3582962719916
6,0.3636363636363636,0.3833333333333333,-0.2222222222222223,1.4618894026708482,0.4333333333333333,0.3732251471332942,-0.6111110943055563,0.6840462700752558,0.3523809483537414,0.3264922210911276,False,False,False,0.1055555555555555,2.5798047827167063
7,0.7619047619047619,0.5833333333333334,0.146341463414634,0.3790120074802278,0.8518518518518519,0.6607669567400215,0.1920731682107468,2.638438766792316,0.8306878211942555,0.9201641225794176,False,True,True,0.4990966576332429,2.5583308778042038
8,0.7391304347826086,0.8333333333333333,0.4651162790697674,0.4325278682347281,0.9333333333333332,0.7834101332667928,0.6292749572865535,2.311989701291141,0.9238095132517008,0.9944437417334616,False,False,True,0.6992248062015503,6.487917050333356
9,0.7619047619047619,0.7638888888888888,0.5205479452054795,0.5661758651719537,0.7685185185185186,0.7628955303272734,0.6832191691149403,1.7662356236854655,0.7354497270445958,0.8715558934409737,False,False,False,0.6445332318619991,2.445879631880841
10,0.7391304347826086,0.7261904761904762,0.4523809523809524,0.618134827953301,0.7222222222222222,0.7326033153818806,0.6120448096465646,1.617770005183801,0.682539674739229,0.8133608063258301,False,False,False,0.5873015873015873,2.225285300521613
42,0.7272727272727273,0.7083333333333333,0.3773584905660377,0.5413714352286091,0.7499999999999999,0.7176780952647226,0.518867917393868,1.8471605933662092,0.7142857061224489,0.8354365189658419,False,False,False,0.5636792452830188,2.165485654295009
100,0.7368421052631579,0.7277777777777779,0.4632768361581921,0.5884329607803503,0.7777777777777778,0.7322818875935236,0.6287328405390293,1.6994289063609913,0.746031737505669,0.8397671796392453,False,False,False,0.620527306967985,2.6479482043539075
123,0.5714285714285714,0.5357142857142857,0.0689655172413792,0.7456172495547078,0.6020408163265307,0.552995386710272,0.1206896530603446,1.3411706705893756,0.5451894981424408,0.5973440420888156,False,False,False,0.335503166783955,1.8736022723136196
2021,0.8260869565217391,0.6722222222222223,0.4025974025974025,0.4272069638023428,0.7666666666666667,0.7412542268760399,0.4873547446130877,2.340785758012165,0.733333324952381,0.9327514337679016,False,True,True,0.5846320346320346,1.8308869092577449
7,0.7619047619047619,0.5833333333333334,0.146341463414634,0.3790120074802278,0.8518518518518519,0.6607669567400215,0.1920731682107468,2.638438766792316,0.8306878211942555,0.9201641225794176,False,True,True,0.4990966576332429,2.5583308778042038
