random_state,accuracy,balanced_accuracy,kappa,log_loss,roc_auc,harmonic_acc,kappa_acc_ratio,inv_log_loss,roc_auc_norm,composite_score,overfitting_flag,imbalance_signal,overconfident_model,stability_index,error_confidence_ratio
1,0.6521739130434783,0.5089285714285714,0.0212765957446809,0.598049834436787,0.7232142857142857,0.5717151405124099,0.0326241129749409,1.6721014298427734,0.683673461574344,0.6810170172709994,False,False,False,0.3722454407294833,2.160696097965823
2,0.9565217391304348,0.9615384615384616,0.9125475285171104,0.2893407316943731,1.0,0.9590235346687354,0.9540269516576064,3.456132704105277,0.9999999885714288,1.334817082774868,False,False,True,0.9562737642585551,28934073.169437308
3,0.6818181818181818,0.6833333333333333,0.3636363636363636,0.6603059803507972,0.7,0.6825749117591626,0.5333333255111111,1.5144493834876998,0.657142849632653,0.7544293107830189,False,False,False,0.5318181818181817,2.2010198611353284
4,0.7391304347826086,0.7261904761904762,0.4523809523809524,0.5047890227808679,0.8174603174603174,0.7326033153818806,0.6120448096465646,1.981025606858036,0.7913832109102689,0.8896178538111732,False,False,False,0.6349206349206349,2.765365799392541
5,0.6521739130434783,0.6150793650793651,0.2396694214876034,0.6140888452188626,0.738095238095238,0.6330837254331474,0.3674931073127642,1.628428836480997,0.700680264101069,0.7371641110462147,False,False,False,0.4888823297914207,2.3447027740379145
6,0.5217391304347826,0.5079365079365079,0.0155642023346304,0.7438191811463689,0.5952380952380952,0.5147453033118904,0.0298313872362733,1.3444127442568494,0.5374149598445093,0.5688984435504465,False,False,False,0.3054011487863628,1.8376708727250428
7,0.4347826086956521,0.3526785714285714,-0.2832618025751072,0.9080178027353444,0.4107142857142857,0.3894503278125508,-0.6515021309381976,1.101299981095707,0.3265306085131195,0.3848771435117697,False,False,False,0.0637262415695892,1.5408786694026433
8,0.6363636363636364,0.5803571428571428,0.169811320754717,0.6966260877160999,0.6517857142857144,0.607071375931208,0.2668463569926839,1.435490291389479,0.6020408094460643,0.665383598516037,False,False,False,0.4107985175202157,2.0005671688094355
9,0.75,0.7428571428571429,0.4857142857142856,0.4616680137303985,0.8714285714285714,0.746411478253703,0.6476190389841269,2.1660586148456598,0.8530612147405249,0.9415924637463824,False,False,True,0.6785714285714285,3.590750938622472
10,0.7391304347826086,0.7063492063492063,0.4297520661157025,0.5911264031589318,0.8015873015873016,0.722368101949337,0.5814292580548487,1.6916855307751868,0.773242621548429,0.8342340741262729,False,False,False,0.6156696838515021,2.9792769217654604
42,0.75,0.7285714285714285,0.4705882352941176,0.6214248221655098,0.7571428571428571,0.7391304297836588,0.6274509720261437,1.6092050852156174,0.722448971335277,0.8261016494863729,False,False,False,0.6138655462184873,2.5588079859070643
100,0.6363636363636364,0.6166666666666667,0.2413793103448275,0.745496799114623,0.6833333333333333,0.6263603335743917,0.379310338866995,1.3413873644712624,0.6380952308027211,0.6782916231405335,False,False,False,0.4623563218390804,2.3542003439135355
123,0.782608695652174,0.7765151515151515,0.5593869731800767,0.6084257615993449,0.8106060606060606,0.779550010844589,0.714772234374675,1.6435858681188655,0.7835497745949289,0.8769368429056585,False,False,False,0.6849965168930686,3.212487851625182
2021,0.7272727272727273,0.625,0.2978723404255319,0.4991669267294663,0.8928571428571428,0.672268902591625,0.4095744624534574,2.0033378143031344,0.8775510103790087,0.8587599071032835,False,False,True,0.5953647416413373,4.658890881311868
7,0.4347826086956521,0.3526785714285714,-0.2832618025751072,0.9080178027353444,0.4107142857142857,0.3894503278125508,-0.6515021309381976,1.101299981095707,0.3265306085131195,0.3848771435117697,False,False,False,0.0637262415695892,1.5408786694026433
