dataset,file_count,random_state,accuracy,balanced_accuracy,kappa,log_loss,roc_auc,harmonic_acc,kappa_acc_ratio,inv_log_loss,roc_auc_norm,composite_score,overfitting_flag,imbalance_signal,overconfident_model,stability_index,error_confidence_ratio
mdd3,200,1,0.7586206896551724,0.5974025974025974,0.2281368821292775,0.5770411457264625,0.7207792207792207,0.6684280003546904,0.3007258861153882,1.7329786447225866,0.680890530251789,0.7693512568425798,False,True,False,0.47445805145424913,2.0666124013788862
mdd3,200,2,0.75,0.7291666666666667,0.4731182795698924,0.6207774869808702,0.7916666666666666,0.7394366147193018,0.6308243643488649,1.6108831342364458,0.7619047531972789,0.8347728293770732,False,False,False,0.6323924731182795,2.9797317944810504
mdd3,200,3,0.7142857142857143,0.575,0.176470588235294,0.4754249390072504,0.84375,0.6371191086317632,0.24705882007058808,2.1033814108580775,0.8214285620408164,0.8285849408435975,False,False,True,0.510110294117647,3.04271941491236
mdd3,200,4,0.5357142857142857,0.59375,0.1651376146788992,1.1595999203660394,0.6302083333333333,0.563241101732569,0.30825687497981685,0.8623663850034382,0.5773809457823129,0.5519678605373846,False,False,False,0.39767297400611623,3.13581941816206
mdd3,200,5,0.5862068965517241,0.5252525252525253,0.0543478260869565,0.6782648601677139,0.6666666666666666,0.5540582839526753,0.09271099586091469,1.4743502781630586,0.6190476119727891,0.6309790934831224,False,False,False,0.3605072463768116,2.034794519459306
mdd3,200,6,0.5,0.375,-0.2857142857142856,1.0716453956825611,0.345,0.4285714236734694,-0.5714285599999999,0.9331444848243173,0.25142856855510204,0.3661502435775252,False,False,False,0.029642857142857193,1.6360998157581113
mdd3,200,7,0.8928571428571429,0.7291666666666667,0.5116279069767442,0.3133555069738386,0.8541666666666666,0.8027522886289034,0.5730232493960931,3.191263423913126,0.8333333238095239,1.1276063167763377,False,True,True,0.6828972868217054,2.1487233290510077
mdd3,200,8,0.5862068965517241,0.5429292929292929,0.0890052356020942,0.8399745675880247,0.6111111111111112,0.5637387163769758,0.1518324581429011,1.190512221062078,0.5555555492063493,0.58532277571115,False,False,False,0.35005817335660266,2.1599345468280324
mdd3,200,9,0.5517241379310345,0.6176470588235294,0.2029598308668075,0.8407348300908895,0.7794117647058824,0.5828274017808516,0.3678646867785411,1.1894356607035492,0.7478991511164467,0.6507819531474838,False,False,False,0.4911857977863449,3.8113310569650243
mdd3,200,10,0.8275862068965517,0.5791666666666667,0.2076502732240436,0.423586571255477,0.7083333333333333,0.6814421358974189,0.25091074378054784,2.3607924430374525,0.666666659047619,0.8702879576395528,False,True,True,0.45799180327868844,1.4522967659400317
