random_state,accuracy,balanced_accuracy,kappa,log_loss,roc_auc,harmonic_acc,kappa_acc_ratio,inv_log_loss,roc_auc_norm,composite_score,overfitting_flag,imbalance_signal,overconfident_model,stability_index,error_confidence_ratio
1,0.6666666666666666,0.4863636363636363,-0.0253164556962024,0.5844927135295901,0.5454545454545454,0.5624178663443391,-0.0379746829746833,1.7108852852115526,0.4805194750278293,0.6371967951904441,False,True,False,0.2600690448791715,1.285883941475651
2,0.5925925925925926,0.5284090909090909,0.0630914826498422,0.9427596991454648,0.4431818181818182,0.5586634078190943,0.1064668751749801,1.0607156736751286,0.3636363594805195,0.5215487662202704,False,False,False,0.2531366504158301,1.6931194292827711
3,0.5185185185185185,0.4517045454545454,-0.1072555205047318,0.804199376091067,0.5795454545454546,0.4828109699721988,-0.2068499284127341,1.2434727224310025,0.5194805135435994,0.5168844489909264,False,False,False,0.2361449670203614,1.9126903625093616
4,0.7,0.6388888888888888,0.3076923076923077,0.6620685547809279,0.7685185185185185,0.6680497875415368,0.4395604332810048,1.510417580890418,0.7354497270445957,0.7545286509185503,False,False,False,0.538105413105413,2.8601360330957317
5,0.8666666666666667,0.7897727272727273,0.6296296296296297,0.3479570628864829,0.9090909090909092,0.8264349366984034,0.7264957181130836,2.8739177269899576,0.8961038858627088,1.1188627291503284,False,False,True,0.7693602693602695,3.827527270723316
6,0.6896551724137931,0.5305555555555556,0.0777385159010599,0.8524312593218354,0.4333333333333333,0.5997330981543187,0.1127208464220845,1.1731151073277322,0.3523809483537414,0.5631569151474043,False,True,False,0.2555359246171966,1.5042904310804666
7,0.6428571428571429,0.45,-0.129032258064516,0.803246743111304,0.31875,0.5294117598615917,-0.2007168427558739,1.2449474537265044,0.2214285688979591,0.4848872788431758,False,True,False,0.094858870967742,1.1790777707457265
8,0.5185185185185185,0.3888888888888889,-0.2580645161290322,0.8280390569456302,0.5061728395061729,0.4444444395464852,-0.4976958429361422,1.207672487831617,0.435626097314185,0.4564182670700766,False,False,False,0.1240541616885703,1.6767790563601253
9,0.7333333333333333,0.6,0.2500000000000001,0.5831828425602799,0.815,0.6599999950500001,0.3409090862603308,1.714728057606317,0.7885714195591836,0.7857568258861176,False,False,False,0.5325,3.1523395191182946
10,0.8076923076923077,0.7,0.4247787610619469,0.4968836894881751,0.725,0.7499999950255103,0.5259165548034436,2.01254337992989,0.685714277877551,0.8796642536473627,False,False,True,0.5748893805309734,1.8068497142533744
42,0.7586206896551724,0.5974025974025974,0.2281368821292775,0.6192353169352631,0.5844155844155845,0.6684280003546904,0.3007258861153882,1.6148949462383355,0.5250463761887094,0.7204698712573263,False,True,False,0.406276233272431,1.4900349455215114
100,0.7037037037037037,0.6388888888888888,0.2941176470588236,0.6224476428682223,0.7037037037037037,0.6697317957779364,0.4179566504073653,1.6065608013654262,0.6613756538170824,0.7530250461752022,False,False,False,0.4989106753812636,2.100760723779576
123,0.7777777777777778,0.6666666666666666,0.4,0.6067447458544573,0.6728395061728395,0.7179487129783038,0.5142857076734695,1.6481395024036676,0.6261022856135047,0.7935524935943623,False,False,False,0.5364197530864198,1.8545782230944403
2021,0.5185185185185185,0.5,0.0,1.448651873445249,0.3241758241758241,0.509090904092562,0.0,0.6902969660466358,0.2276295107423188,0.4037000766850888,False,False,False,0.162087912087912,2.143533634681334
7,0.6428571428571429,0.45,-0.129032258064516,0.803246743111304,0.31875,0.5294117598615917,-0.2007168427558739,1.2449474537265044,0.2214285688979591,0.4848872788431758,False,True,False,0.094858870967742,1.1790777707457265
