random_state,accuracy,balanced_accuracy,kappa,log_loss,roc_auc,harmonic_acc,kappa_acc_ratio,inv_log_loss,roc_auc_norm,composite_score,overfitting_flag,imbalance_signal,overconfident_model,stability_index,error_confidence_ratio
1,0.6666666666666666,0.5555555555555556,0.1111111111111111,0.5936678153314945,0.6759259259259259,0.6060606011019284,0.1666666641666667,1.6844436523768425,0.6296296224338624,0.7008146945655211,False,False,False,0.3935185185185185,1.831889202210316
2,0.8695652173913043,0.8636363636363636,0.735632183908046,0.4849656098035631,0.8636363636363635,0.866590644943046,0.8459770017655173,2.0620018392335795,0.8441558345083487,1.0217766656298306,False,False,True,0.7996342737722048,3.556414211089085
3,0.7727272727272727,0.6354166666666666,0.3209876543209876,0.4674862977901519,0.8125,0.6973772647180202,0.4153957825690973,2.139100083437922,0.785714276734694,0.8781920008592601,False,False,True,0.5667438271604938,2.493260121906937
4,0.6521739130434783,0.5753968253968254,0.1711711711711712,0.5183950671390195,0.8412698412698413,0.6113843941762699,0.2624624584380381,1.9290306642549904,0.8185940949530289,0.785641778914606,False,False,False,0.5062205062205063,3.265888717224834
5,0.5238095238095238,0.5138888888888888,0.0277777777777779,0.7795060410929725,0.6111111111111112,0.5188017795766203,0.0530303020179065,1.2828636783484428,0.5555555492063493,0.5671319314348061,False,False,False,0.3194444444444445,2.0044440541247965
6,0.3636363636363636,0.4,-0.1846153846153848,1.4080941837382015,0.5083333333333333,0.3809523759637188,-0.5076922937307702,0.7101797624384808,0.4380952330884354,0.3573627942002424,False,False,False,0.1618589743589742,2.86392031545559
7,0.7083333333333334,0.65,0.3333333333333333,0.6537691154970976,0.6000000000000001,0.6779141054386693,0.470588228650519,1.529591962972622,0.5428571366530613,0.7275935551098389,False,False,False,0.4666666666666667,1.6344227478821758
8,0.782608695652174,0.7619047619047619,0.5344129554655871,0.6732960504879631,0.7142857142857143,0.7721179574673865,0.6828609899250263,1.48523073085451,0.6734693800583091,0.8237687933489103,False,False,False,0.6243493348756507,2.356536094229108
9,0.8260869565217391,0.7777777777777778,0.603448275862069,0.490219269112306,0.7857142857142857,0.8012048142816447,0.7304900093060465,2.039903452615756,0.755102032186589,0.9484893492838709,False,False,True,0.6945812807881773,2.287689815765237
10,0.7391304347826086,0.7692307692307692,0.5035971223021583,0.5408653886498002,0.8692307692307693,0.7538802610773793,0.6813372738965922,1.8488888409137825,0.8505494408288855,0.9000730836515127,False,False,False,0.6864139457664638,4.13602912633154
42,0.5454545454545454,0.5083333333333333,0.017857142857143,0.6327503902240671,0.725,0.5262401100313663,0.032738094637897,1.5804020031372306,0.685714277877551,0.640328697171636,False,False,False,0.3714285714285715,2.3009104262362285
100,0.5652173913043478,0.5606060606060606,0.1221374045801527,0.9073151833062132,0.553030303030303,0.5629022770363624,0.2160892504340757,1.102152821177884,0.4891774835868893,0.5629348935586854,False,False,False,0.3375838538052278,2.0299254494392973
123,0.9130434782608696,0.8973214285714286,0.7946428571428572,0.3552881004713477,0.9464285714285716,0.9051141796256588,0.8703231197195903,2.814617124883061,0.938775499475219,1.181735323907006,False,False,True,0.8705357142857144,6.63204330415043
2021,0.7272727272727273,0.625,0.2978723404255319,0.536269591551294,0.8928571428571428,0.672268902591625,0.4095744624534574,1.864733703173273,0.8775510103790087,0.8379692904338043,False,False,False,0.5953647416413373,5.005182387328385
7,0.7083333333333334,0.65,0.3333333333333333,0.6537691154970976,0.6000000000000001,0.6779141054386693,0.470588228650519,1.529591962972622,0.5428571366530613,0.7275935551098389,False,False,False,0.4666666666666667,1.6344227478821758
