random_state,accuracy,balanced_accuracy,kappa,log_loss,roc_auc,harmonic_acc,kappa_acc_ratio,inv_log_loss,roc_auc_norm,composite_score,overfitting_flag,imbalance_signal,overconfident_model,stability_index,error_confidence_ratio
1,0.7586206896551724,0.5974025974025974,0.2281368821292775,0.5770411457264625,0.7207792207792207,0.6684280003546904,0.3007258861153882,1.7329786447225866,0.680890530251789,0.7693512568425798,False,True,False,0.4744580514542491,2.0666124013788862
2,0.75,0.7291666666666667,0.4731182795698924,0.6207774869808702,0.7916666666666666,0.7394366147193018,0.6308243643488649,1.6108831342364458,0.7619047531972789,0.8347728293770732,False,False,False,0.6323924731182795,2.9797317944810504
3,0.7142857142857143,0.575,0.176470588235294,0.4754249390072504,0.84375,0.6371191086317632,0.247058820070588,2.103381410858077,0.8214285620408164,0.8285849408435975,False,False,True,0.510110294117647,3.04271941491236
4,0.5357142857142857,0.59375,0.1651376146788992,1.1595999203660394,0.6302083333333333,0.563241101732569,0.3082568749798168,0.8623663850034382,0.5773809457823129,0.5519678605373846,False,False,False,0.3976729740061162,3.13581941816206
5,0.5862068965517241,0.5252525252525253,0.0543478260869565,0.6782648601677139,0.6666666666666666,0.5540582839526753,0.0927109958609146,1.4743502781630586,0.6190476119727891,0.6309790934831224,False,False,False,0.3605072463768116,2.034794519459306
6,0.5,0.375,-0.2857142857142856,1.0716453956825611,0.345,0.4285714236734694,-0.5714285599999999,0.9331444848243172,0.251428568555102,0.3661502435775252,False,False,False,0.0296428571428571,1.6360998157581113
7,0.8928571428571429,0.7291666666666667,0.5116279069767442,0.3133555069738386,0.8541666666666666,0.8027522886289034,0.5730232493960931,3.191263423913126,0.8333333238095239,1.1276063167763375,False,True,True,0.6828972868217054,2.148723329051008
8,0.5862068965517241,0.5429292929292929,0.0890052356020942,0.8399745675880247,0.6111111111111112,0.5637387163769758,0.1518324581429011,1.190512221062078,0.5555555492063493,0.58532277571115,False,False,False,0.3500581733566026,2.1599345468280324
9,0.5517241379310345,0.6176470588235294,0.2029598308668075,0.8407348300908895,0.7794117647058824,0.5828274017808516,0.3678646867785411,1.1894356607035492,0.7478991511164467,0.6507819531474838,False,False,False,0.4911857977863449,3.811331056965024
10,0.8275862068965517,0.5791666666666667,0.2076502732240436,0.423586571255477,0.7083333333333333,0.6814421358974189,0.2509107437805478,2.3607924430374525,0.666666659047619,0.8702879576395528,False,True,True,0.4579918032786884,1.4522967659400317
42,0.4137931034482758,0.4285714285714285,-0.1385681293302541,1.3503365234591982,0.4952380952380952,0.4210526265804863,-0.3348729711220173,0.7405561319134791,0.4231292468649174,0.3855151827653933,False,False,False,0.1783349829539205,2.675194946306813
100,0.7,0.575,0.1818181818181817,0.6210849812694561,0.73,0.6313725440676663,0.2597402560296845,1.6100855986812157,0.6914285635265306,0.7258212797802157,False,False,False,0.4559090909090908,2.300314660245591
123,0.6896551724137931,0.5909090909090909,0.2162162162162162,0.7788542161582342,0.7121212121212122,0.6364749032304654,0.3135135089675676,1.2839373099797973,0.6709956633271491,0.6793632274255528,False,False,False,0.4641687141687142,2.7054934989904083
2021,0.5714285714285714,0.5208333333333334,0.0454545454545455,0.8203678319587823,0.7187500000000001,0.5449591230761236,0.0795454531534091,1.2189653821782094,0.6785714208163267,0.5984427494986547,False,False,False,0.3821022727272728,2.916863298809421
7,0.8928571428571429,0.7291666666666667,0.5116279069767442,0.3133555069738386,0.8541666666666666,0.8027522886289034,0.5730232493960931,3.191263423913126,0.8333333238095239,1.1276063167763375,False,True,True,0.6828972868217054,2.148723329051008
