random_state,accuracy,balanced_accuracy,kappa,log_loss,roc_auc,harmonic_acc,kappa_acc_ratio,inv_log_loss,roc_auc_norm,composite_score,overfitting_flag,imbalance_signal,overconfident_model,stability_index,error_confidence_ratio
1,0.6,0.5625,0.1304347826086955,0.7102525568961936,0.6979166666666666,0.5806451562955255,0.2173913007246375,1.4079498570065063,0.6547618972789115,0.6523350753980627,False,False,False,0.414175724637681,2.351180800169
2,0.5454545454545454,0.5833333333333333,0.1269841269841268,0.8263350568823923,0.7291666666666666,0.5637583842673753,0.2328042285361549,1.2101628504921291,0.6904761825850341,0.6208642528354149,False,False,False,0.4280753968253967,3.0510831742949924
3,0.6666666666666666,0.575,0.1403508771929824,0.5803402189657911,0.7,0.6174496594567812,0.2105263126315789,1.7231271417838347,0.657142849632653,0.7213669394397199,False,False,False,0.4201754385964912,1.9344673320703925
4,0.5714285714285714,0.5818181818181818,0.1599999999999999,0.5636684457600859,0.8090909090909091,0.5765765715769824,0.2799999950999999,1.7740925357469883,0.781818172883117,0.7347892032503599,False,False,False,0.4845454545454545,2.9525488469431296
5,0.75,0.75,0.5,0.5685796060461559,0.81,0.749999995,0.6666666577777779,1.758768643438006,0.7828571339102042,0.8703867232977417,False,False,False,0.655,2.992524084846922
6,0.5,0.5833333333333334,0.1379310344827586,1.1356796639688618,0.6458333333333333,0.5384615334911242,0.2758620634482759,0.8805299794662154,0.5952380884353741,0.5426501031127543,False,False,False,0.3918821839080459,3.206624843019143
7,0.5,0.4027777777777778,-0.1308411214953271,0.812898427779114,0.5555555555555556,0.4461538412118344,-0.2616822377570094,1.230165975877698,0.4920634864399094,0.4890058698897819,False,False,False,0.2123572170301142,1.8290214213500249
8,0.65,0.6458333333333333,0.2857142857142858,0.5874082843127094,0.75,0.6479099628457108,0.4395604327979714,1.7023933943085343,0.714285706122449,0.765031626561246,False,False,False,0.5178571428571429,2.349633043265516
9,0.6190476190476191,0.5555555555555556,0.125,0.7660265869289714,0.6759259259259259,0.5855855806001949,0.2019230736612426,1.305437701522423,0.6296296224338624,0.6341423733659296,False,False,False,0.4004629629629629,2.363739109585448
10,0.5263157894736842,0.5568181818181819,0.1047120418848167,1.0727994467509838,0.625,0.5411374881017014,0.1989528758010471,0.932140665906506,0.5714285648979592,0.5405971119712568,False,False,False,0.3648560209424083,2.860798448381332
42,0.7272727272727273,0.7083333333333333,0.3773584905660377,0.5943820029063517,0.6770833333333334,0.7176780952647226,0.518867917393868,1.6824196868110066,0.6309523737414967,0.794058716506371,False,False,False,0.5272209119496856,1.8406667907086984
100,0.4761904761904761,0.4285714285714285,-0.1379310344827586,0.853160775521421,0.5,0.4511278145627225,-0.2896551663310346,1.172112006283594,0.4285714236734694,0.4670319066952954,False,False,False,0.1810344827586207,1.7063215169164114
123,0.6666666666666666,0.6428571428571428,0.2758620689655172,0.6047312965149536,0.7653061224489796,0.6545454495471075,0.4137930972413793,1.6536269732138835,0.7317784172927947,0.7631599921664214,False,False,False,0.5205840957072484,2.576681066666
2021,0.4,0.4761904761904761,-0.0344827586206895,1.3728371139850073,0.4404761904761904,0.4347826037334594,-0.0862068943965514,0.7284185301583679,0.3605442135665694,0.3952468274915847,False,False,False,0.2029967159277504,2.453581181143243
7,0.5,0.4027777777777778,-0.1308411214953271,0.812898427779114,0.5555555555555556,0.4461538412118344,-0.2616822377570094,1.230165975877698,0.4920634864399094,0.4890058698897819,False,False,False,0.2123572170301142,1.8290214213500249
