random_state,accuracy,balanced_accuracy,kappa,log_loss,roc_auc,harmonic_acc,kappa_acc_ratio,inv_log_loss,roc_auc_norm,composite_score,overfitting_flag,imbalance_signal,overconfident_model,stability_index,error_confidence_ratio
1,0.7916666666666666,0.5833333333333334,0.2307692307692307,0.4439967132941585,0.8518518518518519,0.671717166831956,0.2914979720264223,2.25226887392472,0.8306878211942555,0.8823432799429438,False,True,True,0.5413105413105412,2.996977612439581
2,0.6,0.608974358974359,0.2138364779874213,0.7324335924457295,0.7435897435897436,0.6044538656259384,0.3563941240391334,1.365311472140024,0.7069596988801675,0.6805077220387401,False,False,False,0.4787131107885825,2.8564908991352
3,0.5416666666666666,0.6071428571428571,0.1851851851851852,0.7928267599274171,0.6857142857142857,0.572538855119869,0.3418803355687049,1.2613095797604683,0.6408163192069971,0.6323398595356284,False,False,False,0.4354497354497355,2.522630519503538
4,0.4583333333333333,0.675,0.1521739130434781,1.4083686081306763,0.65,0.5459558775356835,0.3320158030326983,0.7100413820121164,0.5999999931428572,0.5326656262202439,False,False,False,0.4010869565217391,4.023910193975927
5,0.7241379310344828,0.672077922077922,0.3136094674556212,0.660008174060632,0.616883116883117,0.6971373536790707,0.4330797347914233,1.5151327273665056,0.5621521271561094,0.7357957179326421,False,False,False,0.4652462921693691,1.7227331551242084
6,0.5714285714285714,0.5454545454545454,0.0666666666666666,0.7868270143015762,0.5909090909090909,0.5581395298864251,0.1166666646249999,1.2709273691859349,0.5324675263821893,0.5863533898751073,False,False,False,0.3287878787878787,1.923354876832956
7,0.7407407407407407,0.5625,0.0869565217391303,0.4648129857973901,0.6944444444444444,0.6394316114345567,0.1173913027630433,2.151402841662146,0.6507936433560091,0.7917228183665783,False,True,True,0.3907004830917873,1.5212060855519869
8,0.72,0.6818181818181819,0.3902439024390244,0.570276221218357,0.8831168831168831,0.7003891000620752,0.5420054125263476,1.7535361729237195,0.8664192850887887,0.8453054137767146,False,False,False,0.6366803927779537,4.879029475217864
9,0.6428571428571429,0.6145833333333334,0.2391304347826086,0.7322207099458569,0.6822916666666667,0.6284023618664334,0.3719806705421362,1.3657084165467808,0.6369047546258505,0.6824668976721975,False,False,False,0.4607110507246377,2.304694621058867
10,0.64,0.6006493506493507,0.2160278745644599,0.9628001190502776,0.4935064935064935,0.6197006126120645,0.3375435487328506,1.0386371686368767,0.4211502734799894,0.582592148838536,False,False,False,0.3547671840354767,1.9009130180299572
42,0.8571428571428571,0.75,0.588235294117647,0.3449913244676055,0.94375,0.7999999950222222,0.6862745017973856,2.89862353077132,0.9357142750204082,1.111957393023141,False,False,True,0.7659926470588234,6.13317801130356
100,0.8695652173913043,0.8660714285714286,0.703862660944206,0.395541820790207,0.8839285714285714,0.8678148015309978,0.8094420507772533,2.5281776089325785,0.8673469288629738,1.0921845877447958,False,False,True,0.7938956161863887,3.407744623986861
123,0.6923076923076923,0.65625,0.3246753246753247,0.686778457055447,0.65,0.6737967864474249,0.4689754622013789,1.4560736073853418,0.5999999931428572,0.7242517615145946,False,False,False,0.4873376623376623,1.9622241069520168
2021,0.6666666666666666,0.5,0.0,0.5678317276074271,0.78125,0.5714285665306124,0.0,1.7610850781492495,0.7499999914285714,0.7058294266747684,False,True,False,0.390625,2.5958020646830007
7,0.7407407407407407,0.5625,0.0869565217391303,0.4648129857973901,0.6944444444444444,0.6394316114345567,0.1173913027630433,2.151402841662146,0.6507936433560091,0.7917228183665783,False,True,True,0.3907004830917873,1.5212060855519869
