condition,channel,mean,variance,skewness,kurtosis,peak_to_peak,fft_mean,fft_std,fft_max,wavelet_energy,wavelet_entropy,wavelet_coefficients_mean,wavelet_coefficients_std,delta_power,theta_power,slow_alpha_power,alpha_power,beta_power,gamma_power,alpha_beta_ratio
EO,Fp1,-5.1988873567815676e-08,1.766589763080781e-10,0.1256613218624664,0.6047921209379354,0.00012577488196571942,0.0008870499041680448,0.0031326303965862447,0.06907457460986086,0.004902891841675925,15.477271621427851,1.8739059995963904e-05,1.6947362255319805e-05,9.703782623565657e-12,1.1080243935921934e-11,2.360485968010811e-11,1.5426749768207694e-11,8.104068314593861e-13,2.1232992844085948e-13,0.1530273535548668
EO,Fp2,-1.744153389944394e-08,2.1153127381030747e-10,0.11471728476603417,0.7176843704080151,0.0001532941741556258,0.0009511462394500178,0.0034333438666930634,0.06869774760148027,0.005685995346846737,15.465294116094876,1.995071987832441e-05,1.8501236105800575e-05,1.4496152803146348e-11,1.3060274711525109e-11,2.571116779153431e-11,1.6768571267767625e-11,8.848085663162672e-13,2.1258333767016035e-13,0.1662150278725549
EO,F7,-3.9130735774649316e-08,1.3842632680953852e-10,-0.016151875700069235,0.21519088500617345,9.805061411854154e-05,0.00080311012035305,0.002767869379071532,0.06088088267291446,0.0037282965494799107,15.487718578676757,1.6410722709223088e-05,1.4700992772284761e-05,7.784646299132997e-12,8.743458938894916e-12,1.655854245862156e-11,1.1270009201321259e-11,6.979507807792037e-13,2.1047415036045492e-13,0.11191895280824751
EO,F3,-4.5193193541020535e-08,1.935544884699995e-10,0.12162088937258779,0.14635149616095067,0.00011849037400880393,0.0009318377693458695,0.003278055962746474,0.07350002745426236,0.0060452548048332885,15.476492056410553,2.0866976906840615e-05,1.8752932365957345e-05,9.891321740361418e-12,1.3726568359134218e-11,2.709785986376045e-11,1.7906402363058353e-11,1.016232493553395e-12,1.9793260531214098e-13,0.1772626232541497
EO,Fz,-4.4468794930744274e-08,2.460895490561219e-10,0.12967838292263828,0.32226320695152477,0.00014743967090833973,0.0010358313950192737,0.0037004436473837407,0.07701113438975195,0.008853221401906222,15.453981700267189,2.4766481327423786e-05,2.322341427855018e-05,1.048860828277525e-11,2.1470877909258837e-11,3.501731601683024e-11,2.244309755212289e-11,1.2531689603794668e-12,1.9403595513451737e-13,0.2216532853495668
EO,F4,-2.7819207250485495e-08,2.2994053396731724e-10,0.07294412232868752,0.8151940035960528,0.00017394473090687825,0.0010098639890614213,0.003574540952354181,0.06889282699212596,0.00766753913989883,15.45004687558422,2.2728087517865005e-05,2.1949068626613882e-05,1.1677426946071782e-11,1.874902050481533e-11,3.0600107714857376e-11,2.007554741749885e-11,1.1382723889425122e-12,2.1636888124084651e-13,0.19849604846220129
EO,F8,-2.7809360730847287e-08,1.6543044447854832e-10,0.015453303398316883,0.9107792012619145,0.00014801903361116333,0.0008890121133018034,0.0030225861156304105,0.05591769138214223,0.00479602968633295,15.471345910276614,1.8187242170949232e-05,1.713697848803502e-05,1.0179385450762208e-11,1.120571829834471e-11,1.9573973366170193e-11,1.343969519319007e-11,8.365455297312812e-13,2.7444409705047713e-13,0.13328198742416683
EO,FC3,-5.339060184306216e-08,1.9538251986637942e-10,0.10536368634487388,0.11288998329263311,0.00011913300399992588,0.0009470949717958471,0.003290398075594344,0.07399757471218323,0.006568113645572493,15.480003776559709,2.1853009648084427e-05,1.9432610252769724e-05,7.899645523958444e-12,1.4931683646873475e-11,2.8470658514924146e-11,1.9116482411484498e-11,1.2097562165108157e-12,1.9174364238446923e-13,0.18887983852653462
EO,FCz,-4.494255438270359e-08,2.7587010509786384e-10,0.1125923049303665,0.2679369830164209,0.00014297459820709397,0.0011046573434951306,0.0039157230833781614,0.07914730501220725,0.009943426854863319,15.461696764962099,2.6427761176374948e-05,2.441773423114567e-05,1.1622240131667104e-11,2.4028396130775295e-11,3.85640258986449e-11,2.489334615025934e-11,1.5608839709737917e-12,2.0726176923239567e-13,0.24510761601261646
EO,FC4,-1.7598271412651748e-08,2.5278171682563757e-10,0.0820561190842094,0.9202747311341355,0.0001821358442112539,0.0010639323950102175,0.003746428672271108,0.06746599696584832,0.009097338857576914,15.449369025342412,2.4679311491565464e-05,2.3987948853760943e-05,1.1364104044056546e-11,2.3153880271720575e-11,3.415176434812949e-11,2.246027159942396e-11,1.4176725118537906e-12,2.1371194684111406e-13,0.22146309457849944
EO,T7,-4.939215670931692e-08,8.727447123031816e-11,-0.17302611218321085,1.2175478819786463,0.00010857517500344252,0.000678434841396075,0.0021855440159466205,0.04129941294144796,0.0028628062895674398,15.46694308968034,1.3869031597526679e-05,1.3431029783216258e-05,3.734221193251135e-12,8.015401414740653e-12,9.08277013057596e-12,6.920433506131242e-12,5.727624783596581e-13,1.7427807602820215e-13,0.06881021596299812
EO,C3,-5.144771857981399e-08,1.634043649786998e-10,0.0718186227153968,0.00597824463962171,9.58497232169766e-05,0.0008727060897778257,0.0030072071782115462,0.0672473986554981,0.005311935438717617,15.493621108985886,1.9894951156907535e-05,1.7199261540252264e-05,6.656171303223327e-12,1.2028583414405593e-11,2.3466171761424398e-11,1.6614638945560714e-11,1.0454302354434449e-12,1.7536460226963169e-13,0.16442741553821244
EO,Cz,-3.790070804220798e-08,2.893625294504951e-10,0.10299445243653788,0.1383481384684715,0.00014045523920078255,0.001147923576150298,0.004005618243176197,0.07879954722161432,0.009744647755991006,15.480360432079982,2.6580730507383743e-05,2.371150923869255e-05,1.2738600719065592e-11,2.2418513638716185e-11,3.97521804332129e-11,2.7053865653558796e-11,1.9613882789675837e-12,2.093139714010705e-13,0.26533441835392724
EO,C4,-1.308277609923379e-08,2.201488722535156e-10,0.11017322915123548,0.6335177493524391,0.0001518728534792244,0.0009981216447372482,0.003494761255678278,0.05975756876961945,0.007514777169226297,15.467041071404429,2.282975465799563e-05,2.1383170741207524e-05,1.0524720286539176e-11,1.8662638087615314e-11,2.971599053348198e-11,2.0789136879889688e-11,1.2527434896460904e-12,2.0139050743052484e-13,0.2053192453201581
EO,T8,-5.015392605601485e-09,1.3068102991027367e-10,-0.09053619743168327,1.7386961418340263,0.00014617654463862202,0.0007898101943594144,0.002686532189257619,0.04512506473902368,0.0043430032743742835,15.46314753563718,1.7025654728401798e-05,1.660102484003625e-05,7.145083607210868e-12,1.0704861521513783e-11,1.495312956413585e-11,1.1305578777643739e-11,7.218877334280801e-13,1.740320727060196e-13,0.11224550127143405
EO,CP3,-4.428566212781127e-08,1.8347171855363747e-10,0.034402277484114105,0.02958973255783004,0.00010506559577692077,0.0009215252836421903,0.0031874382125867094,0.05942766564372341,0.005857143945034465,15.497774395974977,2.0960374825370228e-05,1.7979808336445538e-05,7.427563001591293e-12,1.3295625010396453e-11,2.57833607552481e-11,1.9366581896932098e-11,1.209411746109356e-12,1.7388834461049663e-13,0.19135159035915036
EO,CPz,-2.1691404300230605e-08,2.7740358922361584e-10,0.09012454661490246,-0.01681407809431379,0.00012679448736399362,0.001118486172826446,0.003923527045632979,0.07494542601300867,0.008779895769398612,15.491336234025304,2.548880272175653e-05,2.2214395622282948e-05,1.2828881948767057e-11,1.8897024955883597e-11,3.699666637526766e-11,2.8871553101990165e-11,1.861534604690695e-12,2.0547883434610783e-13,0.2834392120051629
EO,CP4,-9.583558139080542e-09,2.366313836060831e-10,0.11342251595342215,0.28244221029508276,0.0001364254873917718,0.0010229752830274235,0.0036265851695198746,0.06209394811751244,0.007345627412088258,15.480290596234115,2.297306096397065e-05,2.0703926001057183e-05,1.402505902165168e-11,1.756580981811615e-11,2.9729524252178185e-11,2.2526387560563192e-11,1.27132004271666e-12,1.9489398612904746e-13,0.22243600212835646
EO,P7,-2.711481760148356e-08,9.979400762310828e-11,-0.08692222387304,0.12861122556525073,8.580534560307157e-05,0.0006999356533769752,0.0023447972269573262,0.035814043799101594,0.003216059999217358,15.488678525099878,1.528745392297189e-05,1.3602596373756283e-05,3.761640448925108e-12,7.631158137509313e-12,1.3043743998793252e-11,1.0137494041717021e-11,6.093050942058777e-13,1.471602771161531e-13,0.10076099852021385
EO,P3,-3.910351944441644e-08,1.9986335477370587e-10,-0.013054834436322153,0.01076628248836009,0.00010877607320307437,0.0009365379663921613,0.003333974994461407,0.057787580613740716,0.006299687781118248,15.488562251952034,2.1565474169748548e-05,1.8845719906438485e-05,7.852312064596215e-12,1.3466874064403786e-11,2.6974460818584905e-11,2.30763374807549e-11,1.168385138683588e-12,1.6607060357353572e-13,0.22809830807441878
EO,Pz,-3.914496300475192e-09,2.9243583202597693e-10,0.03619755190696747,-0.07303732068300128,0.00012393537944273451,0.0011022965394906928,0.004041283272368368,0.0848015905191098,0.009056036831435271,15.480467485035282,2.5668142496854894e-05,2.280918603462833e-05,1.2718855925259926e-11,1.7602670932921462e-11,3.709500792400784e-11,3.5285263451402975e-11,1.5963459906612263e-12,1.8462344411638188e-13,0.3473083909400286
EO,P4,1.279807614010199e-08,2.329813810439696e-10,0.07786111732892011,0.14268795022607828,0.0001330033642079162,0.0010004687370100845,0.0036025898935326097,0.06926773949189718,0.007455813220526025,15.47783348631681,2.31345808249544e-05,2.086987410405789e-05,1.0835131483113354e-11,1.6419312819969863e-11,2.980760016402575e-11,2.551365954610884e-11,1.2040786417333899e-12,1.6909956304470175e-13,0.2521010999608844
EO,P8,4.706607229838438e-08,1.431330514137909e-10,0.016531205296665984,0.2574845623657245,0.00010093843544516322,0.0007911277749016932,0.002821818960762035,0.06163733184735246,0.00448291896967816,15.470592211548157,1.774326821105662e-05,1.6396970954707423e-05,6.382068329590934e-12,8.983743166128036e-12,1.776620787979344e-11,1.550684891615592e-11,6.94162718589114e-13,1.4616760057826814e-13,0.15399948216951811
EO,O1,3.925185707344165e-09,2.0304440946667934e-10,-0.059931796160732194,-0.031594880998837116,0.00010764048922650804,0.0008844526744973388,0.003376539366314993,0.07984119270440694,0.005984023980998868,15.463443435596743,2.049763924228018e-05,1.8946704677707568e-05,6.807714309632629e-12,8.290863990453849e-12,2.0647014035659678e-11,2.980497442456237e-11,8.467527095786247e-13,1.5531511427934145e-13,0.29554719040280447
EO,Oz,3.485065132493996e-08,2.368569012040392e-10,-0.01764311263005278,0.0006377773343611004,0.00012329340294363225,0.0009320660836470244,0.0036528687817082113,0.0878330908278485,0.006919797644172028,15.458973758064072,2.1918007120385766e-05,2.0507833469403783e-05,8.271602641970485e-12,9.190495337011853e-12,2.0795529028671388e-11,3.5186141867137454e-11,8.851630061737366e-13,1.5932049566946555e-13,0.348774198491251
EO,O2,6.839997157332167e-08,2.3032957079357492e-10,-0.0012456621098746253,0.11213644801438916,0.00012386629553827117,0.0009259568580052022,0.003600465228389569,0.0823628406000983,0.006772249644644273,15.460384461546674,2.1696416668861767e-05,2.0273745458473332e-05,8.210061039983513e-12,9.430209372110941e-12,2.1578046923315027e-11,3.2573732573732375e-11,8.826520797243195e-13,1.514578539612677e-13,0.3228873537938951
EO,Erbs,-5.001214120219221e-08,2.1480588862004058e-09,-4.058682181803549,19.768094446409457,0.000373384675697,0.0032171372604519613,0.010887614765248368,0.257280039760308,0.07308064085312319,15.362688356330567,7.110120652969414e-05,6.678211671401787e-05,8.507049097210063e-11,1.7318550142033463e-10,1.687068258470959e-10,8.519203140060906e-11,4.538028205560252e-11,1.1110194700819277e-12,0.5859944016894003
EO,OrbOcc,-2.0002359625204883e-08,1.1472443296590834e-10,0.0428321166450709,0.13434601327826412,8.449512575046679e-05,0.0007254771050864818,0.002521411733159115,0.0481416238768674,0.0022720996144498583,15.5151425688322,1.3051516330848625e-05,1.120220665113788e-05,8.194318921577502e-12,4.5794432700334796e-12,1.0679831853743508e-11,7.244143300460631e-12,5.872726749478724e-13,2.3170343761089196e-13,0.07201848810306642
